Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
12.81,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,24.864845275878903,34.24714279174805,79.65408325195312,17.853092193603516,98.22057342529295,1.779429912567139,2.857548952102661,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133930557440.0,692815168.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642207680.0,63910603.428571425,1180536.0,1437024640.0,0.3005349040031433,1155.0,451.0,12253.0,2.0,23.91093635559082,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
12.91,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.36029815673828,33.38900375366211,79.65408325195312,17.853092193603516,98.22415924072266,1.7758398056030271,2.862679243087769,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133957165056.0,693687360.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642335296.0,63910603.428571425,1181129.25,1437024640.0,0.3005349040031433,1155.0,451.0,12253.0,2.0,23.91093635559082,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
13.0,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.36029815673828,33.38900375366211,79.65408325195312,17.853092193603516,98.22415924072266,1.7758398056030271,2.862679243087769,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133957165056.0,693687360.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642335296.0,63910603.428571425,1181129.25,1437024640.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
13.01,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.173145294189453,34.25752258300781,79.65408325195312,17.853092193603516,98.22490692138672,1.7750933170318604,2.970550775527954,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133950218240.0,692916928.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642301952.0,63910603.428571425,1180709.375,1437024640.0,0.1189099252223968,117.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.11,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.34156608581543,33.40806579589844,79.65408325195312,17.853092193603516,98.22657775878906,1.7734254598617554,2.8344414234161377,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133899018240.0,693386240.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642056448.0,63910603.428571425,1180616.5,1437024640.0,0.1189099252223968,117.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.21,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.339988708496094,33.41273498535156,79.65408325195312,17.853092193603516,98.22565460205078,1.7743477821350098,2.8603715896606445,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,134001385472.0,693916288.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642547328.0,63910603.428571425,1181519.125,1437024640.0,0.1189099252223968,117.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.22,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.339988708496094,33.41273498535156,79.65408325195312,17.853092193603516,98.22565460205078,1.7743477821350098,2.8603715896606445,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,134001385472.0,693916288.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642547328.0,63910603.428571425,1181519.125,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.31,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,24.95467567443848,34.27179718017578,79.65408325195312,17.853092193603516,98.20218658447266,1.7978097200393677,2.90338134765625,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133964537856.0,692990976.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642370624.0,63910603.428571425,1180835.625,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.41,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.21626091003418,33.415550231933594,79.65408325195312,17.853092193603516,98.2234115600586,1.7765849828720093,2.7753639221191406,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133961547776.0,693710016.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642356288.0,63910603.428571425,1181167.875,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.51,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,24.953298568725582,34.26165008544922,79.65408325195312,17.853092193603516,98.21924591064452,1.7807542085647583,2.9357357025146484,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133947367424.0,692902144.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642288320.0,63910603.428571425,1180684.25,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.61,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.64106559753418,33.41045379638672,79.65408325195312,17.853092193603516,98.23253631591795,1.767460823059082,2.904906272888184,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133978923008.0,693800000.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642439616.0,63910603.428571425,1181321.125,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.71,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.47359275817871,33.39883041381836,79.65408325195312,17.853092193603516,98.2249755859375,1.775027871131897,2.981621265411377,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133993177088.0,693873792.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642507968.0,63910603.428571425,1181446.75,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.81,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.38084983825684,34.243614196777344,79.65408325195312,17.853092193603516,98.23101043701172,1.768987059593201,2.983726501464844,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133987549184.0,693110016.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642480960.0,63910603.428571425,1181038.375,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
13.91,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.336185455322266,33.401607513427734,79.65408325195312,17.853092193603516,98.2202377319336,1.779763102531433,2.8911023139953613,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133962448896.0,693714688.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642360640.0,63910603.428571425,1181175.875,1437024640.0,9.745935440063477,1155.0,451.0,12253.0,1.0,20.79004669189453,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,1.0,3.370481014251709
14.0,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.336185455322266,33.401607513427734,79.65408325195312,17.853092193603516,98.2202377319336,1.779763102531433,2.8911023139953613,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133962448896.0,693714688.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642360640.0,63910603.428571425,1181175.875,1437024640.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
14.01,50.36056137084961,49.63943862915039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.27547264099121,34.23945999145508,79.65408325195312,17.853092193603516,98.2278060913086,1.7721917629241943,2.908501625061035,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133970444288.0,693021568.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.159741163253784,0.365209766796657,642398912.0,63910603.428571425,1180887.625,1437024640.0,0.1189099252223968,117.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
14.11,50.33605194091797,49.66394805908203,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,25.3790283203125,33.3818359375,79.65408325195312,17.853092193603516,98.2256088256836,1.7743923664093018,2.8804595470428467,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,6.154858589172363,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,133969960960.0,693753536.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,2.158513307571411,0.365209766796657,642396608.0,63910603.428571425,1181242.0,1437024640.0,0.1189099252223968,117.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,4.0,66.0,61.0,63.0,60.0,69.0,73.0,90.0,545.0,2.0,36.95020973682404,2736.0,3.0,3.370481014251709
