Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
19.23,50.35448455810547,49.67938232421875,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.838430404663086,8.118058204650879,98.86133575439452,1.1386626958847046,0.714111328125,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,62.34855651855469,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2371161088.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5202995538711548,0.935016393661499,654524352.0,133308829.33333333,1168514.5,1951460309.0833333,0.0223158095031976,370.0,43.0,11693.0,1.0,22.742305755615234,3551.0,2361.0,4.0,72.0,67.0,71.0,59.0,94.0,58.0,90.0,456.0,2.0,31.70357346534729,3196.0,3.0,69.0,3.3450822830200195
19.25,50.35448455810547,49.67938232421875,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.838430404663086,8.118058204650879,98.86133575439452,1.1386626958847046,0.714111328125,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,62.34855651855469,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2371161088.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5202995538711548,0.935016393661499,654524352.0,133308829.33333333,1168514.5,1951460309.0833333,0.0223158095031976,1425.0,948.0,13932.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.27,50.35448455810547,49.67938232421875,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.838430404663086,8.118058204650879,98.86133575439452,1.1386626958847046,0.714111328125,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,62.34855651855469,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2371161088.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5202995538711548,0.935016393661499,654524352.0,133308829.33333333,1168514.5,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.29,50.28279876708984,49.682464599609375,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.813490867614746,8.011261940002441,98.92317199707033,1.076831340789795,0.7116509675979614,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,25.23705673217773,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2271595520.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5309860706329346,0.935016393661499,597978560.0,133308829.33333333,1067537.125,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.39,50.32984161376953,49.67015838623047,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.32477331161499,8.065542221069336,98.92840576171876,1.0715975761413574,0.6871567964553833,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,26.16112327575684,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2339284224.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.4975076615810394,0.935016393661499,598038080.0,133308829.33333333,1064370.0,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.49,50.33382034301758,49.66617965698242,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.105924606323242,8.059404373168945,98.91304779052734,1.0869485139846802,0.6836177706718445,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,43.53002548217773,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2278957056.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5105745196342468,0.935016393661499,597187520.0,133308829.33333333,1065692.875,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.59,50.32753372192383,49.70566940307617,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.604460716247559,7.990453720092773,98.83075714111328,1.1692456007003784,1.0026332139968872,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,44.40323257446289,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2228106496.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.557026207447052,0.935016393661499,655418944.0,133308829.33333333,2126307.5,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.69,50.319637298583984,49.64746475219727,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.78555154800415,8.073066711425781,98.85172271728516,1.1482778787612915,0.7395275831222534,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,44.44866561889648,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2111196672.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5937145352363586,0.935016393661499,620834304.0,133308829.33333333,1091258.75,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.79,50.30884552001953,49.69115447998047,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.554074287414551,8.048574447631836,98.83675384521484,1.163243055343628,0.712076723575592,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,40.2587890625,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2021137152.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5760741233825684,0.935016393661499,595729792.0,133308829.33333333,1047155.75,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.89,50.33182144165039,49.66817855834961,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.2120866775512695,8.086597442626953,98.87529754638672,1.1247026920318604,0.8319218754768372,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,48.6651611328125,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2133337600.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5455915927886963,0.935016393661499,596446080.0,133308829.33333333,1557309.25,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
19.99,50.29838180541992,49.73674011230469,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.676499843597412,7.977135181427002,98.8883819580078,1.111616611480713,0.2976160943508148,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,46.84699249267578,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2340397056.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5103632807731628,0.935016393661499,614338240.0,133308829.33333333,1107389.5,1951460309.0833333,3.93936538696289,103.0,2.0,6313.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
20.0,50.29838180541992,49.73674011230469,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.676499843597412,7.977135181427002,98.8883819580078,1.111616611480713,0.2976160943508148,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,46.84699249267578,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2340397056.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5103632807731628,0.935016393661499,614338240.0,133308829.33333333,1107389.5,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
20.09,50.2950439453125,49.67259979248047,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.63566780090332,8.095693588256836,98.80585479736328,1.194146990776062,0.3400709927082062,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,53.53855895996094,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2165239040.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.598074734210968,0.935016393661499,643741760.0,133308829.33333333,1141281.125,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
20.19,50.27226257324219,49.72773742675781,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.220448493957519,8.018974304199219,98.84793090820312,1.1520719528198242,0.2968612313270569,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.03096389770508,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2101311872.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5538097620010376,0.935016393661499,588055552.0,133308829.33333333,1052720.375,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2354.0,2361.0,3.0,64.0,62.0,67.0,34.0,56.0,26.0,72.0,456.0,2.0,25.448882579803467,3196.0,3.0,20.0,2.7195637226104736
20.22,50.27226257324219,49.72773742675781,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.220448493957519,8.018974304199219,98.84793090820312,1.1520719528198242,0.2968612313270569,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.03096389770508,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2101311872.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5538097620010376,0.935016393661499,588055552.0,133308829.33333333,1052720.375,1951460309.0833333,6.387531280517578,1425.0,948.0,13932.0,2.0,48.07601165771485,2354.0,1651.0,3.0,77.0,78.0,81.0,48.0,61.0,45.0,72.0,456.0,2.0,58.020782470703125,3196.0,3.0,83.0,2.300182819366455
20.23,50.27226257324219,49.72773742675781,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.220448493957519,8.018974304199219,98.84793090820312,1.1520719528198242,0.2968612313270569,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.03096389770508,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2101311872.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5538097620010376,0.935016393661499,588055552.0,133308829.33333333,1052720.375,1951460309.0833333,0.0223158095031976,370.0,43.0,11693.0,2.0,48.07601165771485,2354.0,1651.0,3.0,77.0,78.0,81.0,48.0,61.0,45.0,72.0,456.0,2.0,58.020782470703125,3196.0,3.0,69.0,2.300182819366455
20.27,50.27226257324219,49.72773742675781,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.220448493957519,8.018974304199219,98.84793090820312,1.1520719528198242,0.2968612313270569,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.03096389770508,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2101311872.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5538097620010376,0.935016393661499,588055552.0,133308829.33333333,1052720.375,1951460309.0833333,7.492643356323242,103.0,2.0,6313.0,1.0,48.07601165771485,2354.0,1651.0,3.0,77.0,78.0,81.0,48.0,61.0,45.0,72.0,456.0,2.0,58.020782470703125,3196.0,3.0,2.0,2.300182819366455
20.29,50.35051727294922,49.64948272705078,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,6.9237895011901855,8.060591697692871,98.8692398071289,1.130761742591858,0.3167550265789032,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.99015808105469,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2184241664.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5330675840377808,0.935016393661499,588457792.0,133308829.33333333,1055831.0,1951460309.0833333,7.492643356323242,103.0,2.0,6313.0,1.0,48.07601165771485,2354.0,1651.0,3.0,77.0,78.0,81.0,48.0,61.0,45.0,72.0,456.0,2.0,58.020782470703125,3196.0,3.0,2.0,2.300182819366455
20.4,50.38135528564453,49.61864471435547,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,7.062747955322266,8.007636070251465,98.84654998779295,1.153451442718506,0.309927225112915,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,56.92628479003906,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2116053504.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,0.5512280464172363,0.935016393661499,587828544.0,133308829.33333333,1048995.75,1951460309.0833333,7.492643356323242,103.0,2.0,6313.0,1.0,48.07601165771485,2354.0,1651.0,3.0,77.0,78.0,81.0,48.0,61.0,45.0,72.0,456.0,2.0,58.020782470703125,3196.0,3.0,2.0,2.300182819366455
