Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
8.65,76.90788269042969,23.088211059570312,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.7227840423584,27.498817443847656,81.02107747395833,22.82764498392741,97.43890380859376,2.56109619140625,0.2977807819843292,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,23.728317260742188,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1948027136.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,9005070.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,10059149600.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.66,76.90788269042969,23.088211059570312,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.7227840423584,27.498817443847656,81.02107747395833,22.82764498392741,97.43890380859376,2.56109619140625,0.2977807819843292,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,23.728317260742188,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1948027136.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,9005070.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,10081898662.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.67,76.90788269042969,23.088211059570312,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.7227840423584,27.498817443847656,81.02107747395833,22.82764498392741,97.43890380859376,2.56109619140625,0.2977807819843292,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,23.728317260742188,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1948027136.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,9005070.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,10104993747.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.68,76.90788269042969,23.088211059570312,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.7227840423584,27.498817443847656,81.02107747395833,22.82764498392741,97.43890380859376,2.56109619140625,0.2977807819843292,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,23.728317260742188,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1948027136.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,9005070.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,8808071921.5,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.69,76.90788269042969,23.088211059570312,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.7227840423584,27.498817443847656,81.02107747395833,22.82764498392741,97.43890380859376,2.56109619140625,0.2977807819843292,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,23.728317260742188,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1948027136.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,9005070.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,8831781473.5,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.71,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,8855447616.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.72,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9090795082.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.73,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9113083665.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.74,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,8025679936.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.75,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9930537167.5,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.77,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9182048215.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.78,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,8994435173.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.79,76.88694763183594,23.111621856689453,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.419357299804688,26.82805061340332,81.02107747395833,22.82764498392741,97.43690490722656,2.563093423843384,0.3630453050136566,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,65.75820922851562,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1929688064.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8964462.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9017582680.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.81,76.87242126464844,23.0969181060791,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.27967834472656,26.8986759185791,81.02107747395833,22.82764498392741,97.43517303466795,2.564824104309082,0.3699839115142822,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,68.1415786743164,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1845708160.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8664315.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,9040893703.5,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.82,76.87242126464844,23.0969181060791,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.27967834472656,26.8986759185791,81.02107747395833,22.82764498392741,97.43517303466795,2.564824104309082,0.3699839115142822,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,68.1415786743164,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1845708160.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8664315.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,7742240508.0,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
8.83,76.87242126464844,23.0969181060791,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,18.27967834472656,26.8986759185791,81.02107747395833,22.82764498392741,97.43517303466795,2.564824104309082,0.3699839115142822,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,68.1415786743164,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1845708160.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,8664315.0,2634597333.3333335,15.96506404876709,1050.0,455.0,12257.0,7.0,17.881271362304688,3050.0,7976065785.5,1920.0,4.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,5.0,31.079912185668945,0.6797651052474976,2736.0,2.0,76.0,3.824006319046021
