Time (s),% Linear Filtered,% Nearest Filtered,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
11.11,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,24.855737686157227,34.2296142578125,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,3.025416135787964,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,693110656.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653169024.0,105313896.66666667,1215949.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11600264410.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.12,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,24.855737686157227,34.2296142578125,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,3.025416135787964,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,693110656.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653169024.0,105313896.66666667,1215949.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11627780170.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.13,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,24.855737686157227,34.2296142578125,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,3.025416135787964,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,693110656.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653169024.0,105313896.66666667,1215949.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15126709622.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.14,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,24.855737686157227,34.2296142578125,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,3.025416135787964,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,693110656.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653169024.0,105313896.66666667,1215949.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15148400943.5,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.15,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,13899145218.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.17,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15197442732.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.18,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15220901566.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.19,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11681473607.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.2,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11702161441.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.21,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11725711360.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.22,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15246322112.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.23,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,15257403192.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.24,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.084976196289062,33.40047073364258,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.9970896244049072,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,704297472.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,653268032.0,105313896.66666667,1185775.5,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,13970213948.5,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.25,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.146568298339844,33.428653717041016,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.873283863067627,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,702866688.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,638893824.0,105313896.66666667,1174979.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,11778698497.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.27,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.146568298339844,33.428653717041016,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.873283863067627,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,702866688.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,638893824.0,105313896.66666667,1174979.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,12257038991.5,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
11.28,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,25.146568298339844,33.428653717041016,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,2.873283863067627,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,0.6424367427825928,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,702866688.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,638893824.0,105313896.66666667,1174979.375,1951497874.6666667,0.2597926557064056,102.0,2.0,6691.0,1.0,21.857624053955078,3508.0,12733653093.0,2361.0,2.0,82.0,80.0,78.0,56.0,65.0,76.0,90.0,456.0,2.0,34.85342264175415,3196.0,0.5,3.3670613765716557
