Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
14.91,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.07080078125,33.399192810058594,30.462243216378347,9.05357824053083,2.883228063583374,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,693959360.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1181590.25,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.01,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.86461067199707,34.24967956542969,30.462243216378347,9.05357824053083,2.9625890254974365,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,693879872.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1217562.625,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.11,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.074562072753903,33.43293380737305,30.462243216378347,9.05357824053083,2.950447559356689,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,707661184.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1184115.875,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.21,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.86626243591309,34.21402740478516,30.462243216378347,9.05357824053083,2.9373490810394287,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,701341184.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1180402.375,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.31,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.04700088500977,33.384307861328125,30.462243216378347,9.05357824053083,2.878631830215454,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,693591040.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1180963.25,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.41,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.07298851013184,33.33982849121094,30.462243216378347,9.05357824053083,2.876230001449585,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,702327872.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1230528.5,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.51,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.92346954345703,34.19957733154297,30.462243216378347,9.05357824053083,3.0186069011688232,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,704384128.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1183022.25,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.59,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.92346954345703,34.19957733154297,30.462243216378347,9.05357824053083,3.0186069011688232,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,704384128.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1183022.25,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.61,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.03826141357422,33.39731979370117,30.462243216378347,9.05357824053083,2.8557863235473637,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,704153088.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1181636.0,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.71,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.913578033447266,34.23444366455078,30.462243216378347,9.05357824053083,2.9363555908203125,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,691629952.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1178514.375,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.81,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.991226196289062,33.37602996826172,30.462243216378347,9.05357824053083,2.961185932159424,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,695142336.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1218381.5,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.86,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.991226196289062,33.37602996826172,30.462243216378347,9.05357824053083,2.961185932159424,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,695142336.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1218381.5,153643.890625,0.0276885256171226,102.0,2.0,6330.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.89,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.991226196289062,33.37602996826172,30.462243216378347,9.05357824053083,2.961185932159424,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,695142336.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1218381.5,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
15.91,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.042747497558597,33.382564544677734,30.462243216378347,9.05357824053083,2.8070390224456787,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,705376704.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1183130.625,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
16.01,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.915834426879883,34.217533111572266,30.462243216378347,9.05357824053083,2.971463918685913,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,702985536.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1181168.75,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
16.11,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,25.0377140045166,33.37015914916992,30.462243216378347,9.05357824053083,2.9983110427856445,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,693724928.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1181191.125,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
16.21,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,24.908409118652344,34.23275375366211,30.462243216378347,9.05357824053083,2.909705400466919,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6272141933441162,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,693285440.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,1181335.125,153643.890625,3.61471438407898,345.0,42.0,11672.0,1.0,22.742305755615234,3750.0,2361.0,4.0,73.0,74.0,69.0,54.0,75.0,87.0,90.0,456.0,2.0,31.867417693138123,3196.0,1.0,65.0,3.362024068832397
