Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
13.2,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20450438719.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.22,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20477652823.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.23,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20505786127.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.24,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20534442889.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.25,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,14808304082.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.26,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20563340637.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.27,50.36083221435547,49.63916778564453,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.093374252319336,34.21265411376953,98.21717834472656,1.7828233242034912,2.8976261615753174,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,641862400.0,115593376.0,1179901.375,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20589208649.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.28,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,16480089685.666666,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.29,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,15282093262.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.3,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,14831343107.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.31,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20643296567.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.32,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,7.210601324914023e-05,102.0,2.0,6330.0,1.0,23.566102981567383,3631.0,20668913035.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.34,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,20695773567.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.35,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,20723689982.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.36,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,14860762038.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.37,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.052078247070312,33.374019622802734,98.22533416748048,1.7746647596359253,2.922267436981201,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642484608.0,115593376.0,1181403.875,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,18263581068.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.38,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.0135440826416,33.37623596191406,98.2275619506836,1.7724405527114868,2.8673017024993896,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642488320.0,115593376.0,1181410.625,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,20778712653.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
13.39,50.33632278442383,49.66367721557617,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,25.0135440826416,33.37623596191406,98.2275619506836,1.7724405527114868,2.8673017024993896,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6491348147392273,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,642488320.0,115593376.0,1181410.625,1975970841.1666667,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,3631.0,20806823390.0,2361.0,4.0,65.0,64.0,60.0,69.0,95.0,50.0,90.0,456.0,2.0,31.891122460365292,3196.0,71.0,3.3603572845458984
