Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
23.33,66.87113189697266,33.14163589477539,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.070881366729736,0.2330150157213211,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,22.82526969909668,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,285165125632.0,2625309696.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.3809489011764526,-1.0,-1.0,76234068.8,4977935.0,1741143952.159375,32.37961196899414,372.0,46.0,11671.0,4.0,24.84875869750977,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.43,66.92278289794922,33.11724090576172,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.105090141296387,0.2489399313926696,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,24.962751388549805,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,283849064448.0,2577064448.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.4746187925338743,-1.0,-1.0,76234068.8,5370082.0,1741143952.159375,32.37961196899414,372.0,46.0,11671.0,4.0,24.84875869750977,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.53,66.89212036132812,33.047821044921875,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.087122917175293,0.2149836868047714,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,24.097980499267575,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,273381834752.0,2512591360.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.4141441583633425,-1.0,-1.0,76234068.8,4997637.0,1741143952.159375,32.37961196899414,372.0,46.0,11671.0,4.0,24.84875869750977,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.63,66.88263702392578,33.115997314453125,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.068700313568115,0.2080168426036834,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,21.79422378540039,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,276593770496.0,2554158592.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.3684358596801758,-1.0,-1.0,76234068.8,4777658.5,1741143952.159375,32.37961196899414,372.0,46.0,11671.0,4.0,24.84875869750977,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.66,66.88263702392578,33.115997314453125,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.068700313568115,0.2080168426036834,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,21.79422378540039,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,276593770496.0,2554158592.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.3684358596801758,-1.0,-1.0,76234068.8,4777658.5,1741143952.159375,6.539973735809326,287.0,48.0,7856.0,1.0,27.39682960510254,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.74,66.90013885498047,33.0985221862793,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.09459400177002,0.4591934978961944,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,25.981246948242188,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,279274192896.0,2600779008.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.343915939331055,-1.0,-1.0,76234068.8,6054991.0,1741143952.159375,6.539973735809326,287.0,48.0,7856.0,1.0,27.39682960510254,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,62.0,4.073300838470459
23.8,66.90013885498047,33.0985221862793,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.09459400177002,0.4591934978961944,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,25.981246948242188,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,279274192896.0,2600779008.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.343915939331055,-1.0,-1.0,76234068.8,6054991.0,1741143952.159375,6.60162353515625,107.0,2.0,6313.0,1.0,27.39682960510254,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,1.0,4.073300838470459
23.84,66.87580871582031,33.14047622680664,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.077256679534912,0.2723818719387054,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,27.108585357666016,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,285227253760.0,2582575104.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.4880802631378174,-1.0,-1.0,76234068.8,5417496.5,1741143952.159375,6.60162353515625,107.0,2.0,6313.0,1.0,27.39682960510254,3370.0,2361.0,3.0,77.0,77.0,94.0,25.0,28.0,28.0,72.0,456.0,3.0,82.05495476722717,0.4667704701423645,3196.0,1.0,1.0,4.073300838470459
23.93,66.87580871582031,33.14047622680664,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.077256679534912,0.2723818719387054,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,27.108585357666016,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,285227253760.0,2582575104.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.4880802631378174,-1.0,-1.0,76234068.8,5417496.5,1741143952.159375,6.604859352111816,1461.0,949.0,13960.0,2.0,39.9599838256836,2422.0,2361.0,3.0,75.0,76.0,91.0,28.0,25.0,27.0,72.0,456.0,3.0,83.35816264152527,0.4677045345306396,3196.0,1.0,1.0,4.076217651367188
23.94,66.9148941040039,33.06529998779297,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,6.100796699523926,0.3549341261386871,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,25.059648513793945,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,277140963328.0,2520554496.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.4460773468017578,-1.0,-1.0,76234068.8,5448603.0,1741143952.159375,6.604859352111816,1461.0,949.0,13960.0,2.0,39.9599838256836,2422.0,2361.0,3.0,75.0,76.0,91.0,28.0,25.0,27.0,72.0,456.0,3.0,83.35816264152527,0.4677045345306396,3196.0,1.0,1.0,4.076217651367188
