Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
32.14,68.14273071289062,31.851316452026367,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,8.295088768005371,7.778154373168945,98.78992462158205,1.210075855255127,0.8085474371910095,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,54.214012145996094,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233368043520.0,2164953600.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.9248594641685486,0.8571939468383789,726388544.0,75024368.0,2050382.125,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23444080105.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.15,68.14273071289062,31.851316452026367,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,8.295088768005371,7.778154373168945,98.78992462158205,1.210075855255127,0.8085474371910095,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,54.214012145996094,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233368043520.0,2164953600.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.9248594641685486,0.8571939468383789,726388544.0,75024368.0,2050382.125,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,26190490719.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.16,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,26190490719.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.17,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,27805763611.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.18,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23453181474.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.19,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23459430184.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.2,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,25646285240.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.22,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23475002693.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.23,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,26218284039.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.24,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23484947987.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.25,68.19586181640625,31.7981014251709,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.895555973052978,7.749880790710449,98.83661651611328,1.1633845567703247,0.7501002550125122,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,55.05993270874024,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,233627353088.0,2207420416.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8617740273475647,0.8571939468383789,692747520.0,75024368.0,2004935.625,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23493717236.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.26,68.44636535644531,31.546222686767575,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.877564430236816,7.758150100708008,98.81499481201172,1.1850050687789917,0.746626079082489,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,49.19401168823242,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,223572606976.0,2103539712.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8736048340797424,0.8571939468383789,676140416.0,75024368.0,2079340.75,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,26232767219.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.28,68.44636535644531,31.546222686767575,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.877564430236816,7.758150100708008,98.81499481201172,1.1850050687789917,0.746626079082489,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,49.19401168823242,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,223572606976.0,2103539712.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8736048340797424,0.8571939468383789,676140416.0,75024368.0,2079340.75,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23516133054.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.3,68.44636535644531,31.546222686767575,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.877564430236816,7.758150100708008,98.81499481201172,1.1850050687789917,0.746626079082489,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,49.19401168823242,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,223572606976.0,2103539712.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8736048340797424,0.8571939468383789,676140416.0,75024368.0,2079340.75,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,26249417924.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.31,68.44636535644531,31.546222686767575,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.877564430236816,7.758150100708008,98.81499481201172,1.1850050687789917,0.746626079082489,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,49.19401168823242,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,223572606976.0,2103539712.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8736048340797424,0.8571939468383789,676140416.0,75024368.0,2079340.75,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,23528864956.0,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
32.33,68.44636535644531,31.546222686767575,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,7.877564430236816,7.758150100708008,98.81499481201172,1.1850050687789917,0.746626079082489,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,49.19401168823242,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,223572606976.0,2103539712.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,0.8736048340797424,0.8571939468383789,676140416.0,75024368.0,2079340.75,1374335263.1614583,1.2453893423080444,391.0,43.0,11691.0,2.0,5.339852809906006,2261.0,24902610170.5,1651.0,3.0,57.0,55.0,61.0,29.0,25.0,28.0,72.0,492.0,3.0,79.64545488357544,0.7089510560035706,3196.0,3.0,77.0,2.412939548492432
