Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
9.09,0.7875292539596558,15.226322555541993,0.06058317720890044,31.642919540405277,0.5410414934158325,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,6.050261497497559,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8450780.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.19,0.7875292539596558,15.226322555541993,0.06058317720890044,32.52714538574219,0.5836030840873718,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.683527946472168,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8786521.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.29,0.7875292539596558,15.226322555541993,0.06058317720890044,31.812471389770508,0.5175749659538269,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,3.4444589614868164,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8820323.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.39,0.7875292539596558,15.226322555541993,0.06058317720890044,32.53585433959961,0.5501575469970703,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,8.747603416442871,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8823581.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.49,0.7875292539596558,15.226322555541993,0.06058317720890044,31.68880653381348,1.1592515707015991,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,10.966733932495115,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,9652334.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.59,0.7875292539596558,15.226322555541993,0.06058317720890044,31.68727684020996,1.4550600051879885,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,10.246990203857422,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,10121393.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.69,0.7875292539596558,15.226322555541993,0.06058317720890044,32.404972076416016,1.0819051265716553,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,11.856322288513184,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,9094851.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,67.0,67.0,65.0,69.0,64.0,75.0,90.0,545.0,2.0,35.33271253108978,1.0863815546035769,3196.0,1.0,1.0,3.365241765975952
9.74,0.7875292539596558,15.226322555541993,0.06058317720890044,32.404972076416016,1.0819051265716553,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,11.856322288513184,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,9094851.0,1164240564.165625,0.3490374982357025,1141.0,453.0,12267.0,2.0,28.817739486694336,2929.0,1920.0,4.0,71.0,70.0,65.0,65.0,61.0,74.0,90.0,545.0,2.0,36.71678900718689,1.0863815546035769,3196.0,1.0,3.0,3.3681349754333496
9.79,0.7875292539596558,15.226322555541993,0.06058317720890044,31.73261260986328,0.9088022112846376,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,9.448264122009276,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8161259.5,1164240564.165625,0.3490374982357025,1141.0,453.0,12267.0,2.0,28.817739486694336,2929.0,1920.0,4.0,71.0,70.0,65.0,65.0,61.0,74.0,90.0,545.0,2.0,36.71678900718689,1.0863815546035769,3196.0,1.0,3.0,3.3681349754333496
9.89,0.7875292539596558,15.226322555541993,0.06058317720890044,32.4742431640625,0.4258357882499695,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,6.236281394958496,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,7734370.5,1164240564.165625,0.3490374982357025,1141.0,453.0,12267.0,2.0,28.817739486694336,2929.0,1920.0,4.0,71.0,70.0,65.0,65.0,61.0,74.0,90.0,545.0,2.0,36.71678900718689,1.0863815546035769,3196.0,1.0,3.0,3.3681349754333496
