Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
14.42,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.0296631548553705,136.0,2.0,6330.0,1.0,8.891386032104492,2344.0,20690690706.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.43,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20690690706.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.44,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20720099403.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.45,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20749515821.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.46,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20778940162.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.47,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20808364790.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.49,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20836848817.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.5,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,25.03577041625977,33.35795974731445,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.889268636703491,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693934144.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642612992.0,87069521.33333333,1181819.375,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20865719294.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.51,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20894819314.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.52,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20924006072.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.53,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,13947439486.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.54,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20953294171.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.55,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,20981769599.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.58,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,21039710960.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.59,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,21068902852.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
14.6,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,24.9407958984375,34.18243408203125,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,2.9714131355285645,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6253317594528198,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,693189696.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,642604032.0,87069521.33333333,1181444.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,21098195984.0,1920.0,2.0,64.0,63.0,54.0,51.0,82.0,50.0,90.0,545.0,2.0,34.787583351135254,2736.0,2.0,36.0,3.185152053833008
