db_id,room_label,noise_type,TotalUsedMem_mean,TotalUsedMem_std,TotalUsedMem_max,TotalUsedMem_min,TotalUsedMem_median,CpuUtil_mean,GpuUtil_mean,GpuUtil_max,GpuUtil_min,GpuUtil_median,BatteryTemp_mean,BatteryLevel_mean,BatteryLevel_max,BatteryLevel_min,BatteryLevel_median,BatteryVoltageMv_mean,BatteryVoltageMv_max,BatteryVoltageMv_min,BatteryVoltageMv_median,WorstFrameMs_median
69,kitchen,0.0,144545023.4065934,269636.79280002246,145092596,143989595,144556660.0,0.2098813186813186,0.348854945054945,0.4306,0.3323,0.337,53.0,0.48,0.48,0.48,0.48,3621.285714285714,3627,3619,3619.0,15.74
70,kitchen,0.0,144791865.7912088,299629.8432194282,145377268,144276027,144708628.0,0.1632164835164835,0.3320516483516483,0.3426,0.2872,0.3359,51.0,0.48,0.48,0.48,0.48,3640.692307692308,3647,3633,3647.0,15.7
71,kitchen,1.0,145492834.2197802,299304.5612594145,146186795,145043696,145414080.0,0.1707725274725274,0.3400527472527472,0.3427,0.3365,0.3398,52.0,0.47,0.47,0.47,0.47,3644.681318681319,3659,3640,3640.0,15.67
72,kitchen,1.0,145545084.56043956,309477.4251665801,146135900,144965414,145485500.0,0.1568670329670329,0.3452142857142857,0.3537,0.3393,0.3428,52.0,0.46,0.46,0.46,0.46,3621.098901098901,3648,3612,3612.0,15.75
73,kitchen,2.0,145560499.30769232,333161.26194896275,146312517,144974532,145495560.0,0.1537780219780219,0.2816714285714286,0.311,0.2651,0.2799,50.54945054945055,0.46,0.46,0.46,0.46,3644.901098901099,3646,3644,3644.0,15.64
74,kitchen,2.0,145441390.07692307,319923.0838233448,146024336,144854184,145377124.0,0.1572912087912087,0.2919461538461538,0.3151,0.2683,0.293,51.0,0.45,0.45,0.45,0.45,3649.967032967033,3658,3615,3658.0,15.8
76,hallway,0.0,143779791.32967034,185270.56940611987,144166100,143425332,143769044.0,0.1361472527472527,0.2581615384615384,0.2655,0.2536,0.2576,46.0,0.36,0.36,0.36,0.36,3593.0,3596,3575,3596.0,15.61
77,hallway,0.0,143798445.7912088,199810.6448280599,144178340,143435524,143781620.0,0.1396648351648351,0.2551571428571428,0.2615,0.2518,0.2556,46.0,0.35,0.35,0.35,0.35,3590.131868131868,3592,3587,3592.0,15.67
78,hallway,1.0,144788863.7912088,190534.9444028434,145188072,144403826,144773654.0,0.1468241758241758,0.2725934065934066,0.2811,0.2697,0.2726,46.0,0.35,0.35,0.35,0.35,3594.5494505494507,3599,3584,3599.0,15.64
79,hallway,1.0,144714395.64835164,185625.14716446347,145290266,144325608,144693612.0,0.1487505494505494,0.2732373626373626,0.2789,0.2671,0.2732,47.02197802197802,0.3302197802197802,0.34,0.33,0.33,3563.725274725274,3581,3563,3563.0,15.56
80,hallway,2.0,144700742.8021978,188732.84185361257,145087600,144329652,144691012.0,0.1495450549450549,0.2827637362637362,0.321,0.2569,0.2774,48.0,0.32,0.32,0.32,0.32,3552.912087912088,3553,3552,3553.0,15.66
81,hallway,2.0,145374830.68131867,200709.12690685643,145790464,144966366,145344790.0,0.1572472527472527,0.2743714285714286,0.2843,0.2641,0.2749,50.0,0.3057142857142857,0.31,0.3,0.31,3563.428571428572,3566,3560,3566.0,15.62
82,lab,0.0,144999765.73626372,276626.1959037472,145651767,144507852,144924780.0,0.1444637362637362,0.2872846153846154,0.2902,0.2849,0.2872,51.0,0.7700000000000001,0.77,0.77,0.77,3908.263736263736,3910,3908,3908.0,15.63
83,lab,0.0,145818378.30769232,274324.18343228864,146512355,145364872,145785660.0,0.164043956043956,0.2980868131868132,0.3008,0.2953,0.2976,49.0,0.76,0.76,0.76,0.76,3909.56043956044,3960,3909,3909.0,15.71
84,lab,1.0,145764999.5054945,309478.20400450926,146472207,145138200,145777407.0,0.1762461538461538,0.3054406593406593,0.361,0.2957,0.3063,48.0,0.76,0.76,0.76,0.76,3920.076923076923,3941,3913,3913.0,15.66
87,lab,1.0,145770242.57142857,295890.79214123974,146520885,145193550,145721032.0,0.1601945054945055,0.3542461538461539,0.3584,0.3413,0.3555,48.0,0.7299999999999999,0.73,0.73,0.73,3885.472527472528,3896,3871,3892.0,15.73
88,lab,2.0,145723393.4945055,296835.5319580432,146471875,145176650,145665790.0,0.1599395604395604,0.3024362637362637,0.3151,0.2894,0.3038,48.0,0.7299999999999999,0.73,0.73,0.73,3824.307692307693,3869,3820,3820.0,15.48
89,lab,2.0,145723466.42222223,312173.1787538245,146375475,145134298,145665026.0,0.1628333333333333,0.3092222222222222,0.3205,0.2999,0.308,47.0,0.72,0.72,0.72,0.72,3875.777777777778,3883,3870,3870.0,15.705
90,lab,0.0,144713842.47777778,280446.5129162489,145213108,144254116,144746260.0,0.1546044444444444,0.2955488888888888,0.3023,0.2928,0.2942,51.68888888888889,0.64,0.64,0.64,0.64,3781.511111111111,3784,3768,3784.0,15.695
91,lab,0.0,145841784.92307693,283757.9547519687,146377668,145365384,145868582.0,0.1667153846153846,0.3460417582417582,0.3491,0.3445,0.3458,50.0,0.63,0.63,0.63,0.63,3744.0,3744,3744,3744.0,15.77
92,lab,1.0,146303664.54945055,295897.2736576812,147035996,145820808,146317256.0,0.1689351648351648,0.3495010989010989,0.3565,0.3464,0.348,51.0,0.62,0.62,0.62,0.62,3737.120879120879,3738,3736,3738.0,15.69
93,lab,1.0,146302178.91208792,298147.7407903597,146877003,145786396,146316048.0,0.1624989010989011,0.347821978021978,0.3531,0.3416,0.3489,50.0,0.61,0.61,0.61,0.61,3748.5824175824177,3751,3740,3751.0,15.65
94,lab,2.0,146053119.0989011,303724.2683091117,146738771,145569616,146067608.0,0.1625571428571428,0.3024065934065934,0.3239,0.2864,0.2958,50.0,0.6,0.6,0.6,0.6,3737.7582417582416,3740,3734,3740.0,15.48
95,lab,2.0,146238674.4945055,297918.85911211383,146763042,145731192,146245002.0,0.1676494505494505,0.3025164835164835,0.3152,0.2943,0.2962,50.0,0.6,0.6,0.6,0.6,3714.692307692308,3717,3709,3717.0,15.6
96,lab,0.0,145514867.8901099,276298.20474500966,146064884,144999684,145450756.0,0.1496362637362637,0.2876835164835165,0.2902,0.2863,0.287,53.0,0.52,0.52,0.52,0.52,3675.142857142857,3686,3673,3673.0,15.66
97,lab,0.0,145269314.3846154,281727.35342461045,145828556,144726076,145247300.0,0.1607472527472527,0.2925472527472527,0.4102,0.2874,0.2885,50.0,0.52,0.52,0.52,0.52,3689.3846153846152,3690,3662,3690.0,15.69
98,lab,1.0,146226581.0989011,280559.7811009429,146786368,145688516,146170872.0,0.1661098901098901,0.3036472527472527,0.3065,0.3004,0.3038,50.76923076923077,0.51,0.51,0.51,0.51,3680.538461538461,3684,3669,3684.0,15.61
99,lab,1.0,146473915.45054945,282267.1565547025,147225919,145942228,146412354.0,0.1683120879120879,0.2986197802197802,0.3031,0.295,0.2996,50.0,0.51,0.51,0.51,0.51,3669.3846153846152,3674,3668,3668.0,15.49
100,lab,2.0,146435651.6222222,292217.83017482294,147209861,145895486,146378828.0,0.1588355555555555,0.3162766666666666,0.3417,0.304,0.3123,50.0,0.5,0.5,0.5,0.5,3652.8555555555554,3658,3623,3654.0,15.685
101,lab,2.0,146248472.94505495,290070.56780705124,146966319,145783488,146180256.0,0.1639758241758241,0.3161472527472527,0.3282,0.3111,0.3142,50.0,0.4899999999999999,0.49,0.49,0.49,3650.0,3650,3650,3650.0,15.66
102,conference,0.0,145269255.08791208,295002.41944567184,145800259,144787036,145297724.0,0.2127802197802197,0.2492571428571428,0.2517,0.2466,0.2495,54.87912087912088,0.33,0.33,0.33,0.33,3554.978021978022,3565,3549,3549.0,15.59
103,conference,0.0,145680026.63736263,299512.63750743604,146209512,145187094,145734872.0,0.1517428571428571,0.2928747252747253,0.2937,0.2923,0.2928,50.3956043956044,0.33,0.33,0.33,0.33,3583.967032967033,3599,3561,3599.0,15.48
104,conference,1.0,145876454.37362638,301895.6804461043,146494357,145384848,145928768.0,0.1556604395604395,0.3034395604395604,0.3071,0.2988,0.3035,52.0,0.32,0.32,0.32,0.32,3576.5714285714284,3583,3570,3583.0,15.64
105,conference,1.0,146078897.81318682,302781.8284637366,146603508,145568310,146124196.0,0.1514340659340659,0.2984560439560439,0.3009,0.2965,0.2985,52.0,0.32,0.32,0.32,0.32,3564.010989010989,3565,3562,3565.0,15.49
106,conference,2.0,146080631.15384614,306411.1288535197,146611188,145545748,146113228.0,0.1503428571428571,0.315567032967033,0.3207,0.3021,0.3158,51.75824175824176,0.31,0.31,0.31,0.31,3562.3406593406594,3565,3554,3565.0,15.68
107,conference,2.0,145796153.03296703,306183.6842513146,146415565,145294216,145841116.0,0.1520714285714285,0.3136571428571428,0.3257,0.2924,0.3185,51.0,0.31,0.31,0.31,0.31,3560.285714285714,3574,3535,3574.0,15.65
