Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
27.25,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.647712230682373,8.161168098449707,63.28610483805338,36.71389555931091,0.2921339869499206,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,82.10610961914062,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3032075008.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,653784448.0,110126229.33333333,1275485.125,1806433991.0833333,9.476637840270996,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,59.0,53.0,61.0,28.0,34.0,30.0,72.0,456.0,2.0,87.55009174346924,3196.0,70.0,2.1720573902130127
27.35,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.414810180664063,8.058540344238281,63.28610483805338,36.71389555931091,0.2726131677627563,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,68.3619384765625,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3026405888.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,599911552.0,110126229.33333333,1191904.375,1806433991.0833333,9.476637840270996,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,59.0,53.0,61.0,28.0,34.0,30.0,72.0,456.0,2.0,87.55009174346924,3196.0,70.0,2.1720573902130127
27.43,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.414810180664063,8.058540344238281,63.28610483805338,36.71389555931091,0.2726131677627563,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,68.3619384765625,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3026405888.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,599911552.0,110126229.33333333,1191904.375,1806433991.0833333,9.465672492980955,906.0,410.0,13569.0,2.0,38.36734008789063,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.45,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.2188639640808105,8.141500473022461,63.28610483805338,36.71389555931091,0.2973570823669433,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,84.94683074951172,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2955502336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598075136.0,110126229.33333333,1185270.75,1806433991.0833333,9.465672492980955,906.0,410.0,13569.0,2.0,38.36734008789063,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.49,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.2188639640808105,8.141500473022461,63.28610483805338,36.71389555931091,0.2973570823669433,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,84.94683074951172,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2955502336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598075136.0,110126229.33333333,1185270.75,1806433991.0833333,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,73.0,2.168040037155152
27.51,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.2188639640808105,8.141500473022461,63.28610483805338,36.71389555931091,0.2973570823669433,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,84.94683074951172,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2955502336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598075136.0,110126229.33333333,1185270.75,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.55,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.195312976837158,8.067773818969727,63.28610483805338,36.71389555931091,0.2610128223896026,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,74.7564926147461,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3050985472.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598366208.0,110126229.33333333,1188116.875,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.66,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.774855136871338,8.131568908691406,63.28610483805338,36.71389555931091,0.3079533278942108,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,82.96663665771484,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3051948032.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,656809664.0,110126229.33333333,1280826.125,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.76,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.409296989440918,8.073686599731445,63.28610483805338,36.71389555931091,0.2891449630260467,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,75.69706726074219,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3027731712.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,623163456.0,110126229.33333333,1226844.375,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.86,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.172570705413818,8.139241218566895,63.28610483805338,36.71389555931091,0.2859682440757751,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,86.17070770263672,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2988581632.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598463872.0,110126229.33333333,1188854.25,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
27.96,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.184841156005859,8.09150505065918,63.28610483805338,36.71389555931091,0.2731175720691681,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,83.23182678222656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3019592192.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598908992.0,110126229.33333333,1192578.5,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.0,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.184841156005859,8.09150505065918,63.28610483805338,36.71389555931091,0.2731175720691681,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,83.23182678222656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3019592192.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598908992.0,110126229.33333333,1192578.5,1806433991.0833333,9.429512977600098,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.06,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.38967227935791,8.086562156677246,63.28610483805338,36.71389555931091,0.2908912301063537,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,81.77279663085938,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3078060800.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,624859392.0,110126229.33333333,1236525.875,1806433991.0833333,9.429512977600098,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.16,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.852609157562256,8.102822303771973,63.28610483805338,36.71389555931091,0.2935596704483032,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,83.7330551147461,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3021692160.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,654597696.0,110126229.33333333,1276084.5,1806433991.0833333,9.429512977600098,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.26,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.172417163848877,8.107401847839355,63.28610483805338,36.71389555931091,0.2741607427597046,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,81.45439910888672,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2958657280.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,597281408.0,110126229.33333333,1181628.75,1806433991.0833333,9.429512977600098,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.36,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.230759143829346,8.082613945007324,63.28610483805338,36.71389555931091,0.285165935754776,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,82.63124084472656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2954379520.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598088832.0,110126229.33333333,1181731.75,1806433991.0833333,9.429512977600098,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,56.0,56.0,56.0,21.0,30.0,28.0,72.0,456.0,2.0,87.49650120735168,3196.0,70.0,2.168040037155152
28.43,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.230759143829346,8.082613945007324,63.28610483805338,36.71389555931091,0.285165935754776,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,82.63124084472656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2954379520.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598088832.0,110126229.33333333,1181731.75,1806433991.0833333,9.359583854675291,906.0,410.0,13569.0,2.0,37.68133544921875,2674.0,1651.0,3.0,58.0,63.0,62.0,26.0,28.0,26.0,72.0,456.0,2.0,87.6451849937439,3196.0,70.0,2.1712000370025635
28.46,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.606142997741699,8.092482566833496,63.28610483805338,36.71389555931091,0.2878973186016083,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,79.66639709472656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2972691968.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,621571264.0,110126229.33333333,1221408.5,1806433991.0833333,9.359583854675291,906.0,410.0,13569.0,2.0,37.68133544921875,2674.0,1651.0,3.0,58.0,63.0,62.0,26.0,28.0,26.0,72.0,456.0,2.0,87.6451849937439,3196.0,70.0,2.1712000370025635
