Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
27.98,50.4645881652832,49.56721115112305,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.770282745361328,8.125773429870605,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3042307496070862,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,78.14915466308594,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,3002503680.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1284690.0,669724172.8710938,9.31879425048828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,58.0,59.0,60.0,27.0,31.0,32.0,72.0,456.0,2.0,86.38718128204346,2736.0,73.0,2.1676793098449707
28.08,50.44519805908203,49.52141189575195,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.5275959968566895,8.057883262634277,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2896247208118438,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,85.5915298461914,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2963031808.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1229549.125,669724172.8710938,9.31879425048828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,58.0,59.0,60.0,27.0,31.0,32.0,72.0,456.0,2.0,86.38718128204346,2736.0,73.0,2.1676793098449707
28.18,50.46665191650391,49.533348083496094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.347496032714844,8.10720157623291,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2847233414649963,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,83.73272705078125,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2907915008.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1189212.625,669724172.8710938,9.31879425048828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,58.0,59.0,60.0,27.0,31.0,32.0,72.0,456.0,2.0,86.38718128204346,2736.0,73.0,2.1676793098449707
28.25,50.46665191650391,49.533348083496094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.347496032714844,8.10720157623291,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2847233414649963,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,83.73272705078125,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2907915008.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1189212.625,669724172.8710938,9.317312240600586,1442.0,948.0,14145.0,2.0,37.71489715576172,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,73.0,2.168932676315308
28.28,50.46891784667969,49.53108215332031,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.247200012207031,8.124013900756836,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2759718298912048,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,83.7049560546875,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2956102656.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1184226.125,669724172.8710938,9.317312240600586,1442.0,948.0,14145.0,2.0,37.71489715576172,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,73.0,2.168932676315308
28.3,50.46891784667969,49.53108215332031,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.247200012207031,8.124013900756836,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2759718298912048,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,83.7049560546875,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2956102656.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1184226.125,669724172.8710938,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,73.0,2.168932676315308
28.32,50.46891784667969,49.53108215332031,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.247200012207031,8.124013900756836,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2759718298912048,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,83.7049560546875,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2956102656.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1184226.125,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.38,50.42694854736328,49.57305145263672,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.5247483253479,8.038538932800293,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.291765421628952,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,72.960205078125,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,3007030784.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1232315.125,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.48,50.48170852661133,49.51829147338867,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.824735164642334,8.154322624206543,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.297104001045227,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,76.45948791503906,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2967711232.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1278325.875,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.58,50.43022537231445,49.56977462768555,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.303042411804199,8.057929992675781,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2758328318595886,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,78.23118591308594,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2941445888.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1187086.0,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.68,50.468788146972656,49.531211853027344,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.319523811340332,8.126063346862793,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2848653793334961,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,85.44275665283203,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2884688640.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1182998.5,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.78,50.44384765625,49.5887451171875,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.528620719909668,8.03937816619873,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2927256524562835,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,90.01561737060547,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,3005763840.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1233138.625,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,70.0,2.168932676315308
28.82,50.44384765625,49.5887451171875,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.528620719909668,8.03937816619873,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2927256524562835,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,90.01561737060547,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,3005763840.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1233138.625,669724172.8710938,9.320749282836914,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,1.0,2.168932676315308
28.88,50.47521209716797,49.52802658081055,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.82977294921875,8.14893913269043,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3014131486415863,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,87.76332092285156,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2921425920.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1273029.875,669724172.8710938,9.320749282836914,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,1.0,2.168932676315308
28.98,50.42625045776367,49.536746978759766,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.363149166107178,8.048918724060059,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2706998288631439,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,80.82019805908203,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2999376384.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1186964.25,669724172.8710938,9.320749282836914,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,57.0,58.0,58.0,29.0,30.0,26.0,72.0,456.0,2.0,86.5748405456543,2736.0,1.0,2.168932676315308
