Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
9.97,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.0861759185791,32.5111198425293,97.21498107910156,2.7850182056427,0.5529395937919617,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6578885316848755,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159341707264.0,1873704320.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950828096.0,155539885.33333334,7440532.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,9735995889.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
9.98,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.0861759185791,32.5111198425293,97.21498107910156,2.7850182056427,0.5529395937919617,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6578885316848755,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159341707264.0,1873704320.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950828096.0,155539885.33333334,7440532.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,9763963932.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
9.99,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.0861759185791,32.5111198425293,97.21498107910156,2.7850182056427,0.5529395937919617,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6578885316848755,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159341707264.0,1873704320.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950828096.0,155539885.33333334,7440532.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,12689277462.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.0,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.0861759185791,32.5111198425293,97.21498107910156,2.7850182056427,0.5529395937919617,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6578885316848755,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159341707264.0,1873704320.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950828096.0,155539885.33333334,7440532.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,12706373426.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.01,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.0861759185791,32.5111198425293,97.21498107910156,2.7850182056427,0.5529395937919617,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6578885316848755,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159341707264.0,1873704320.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950828096.0,155539885.33333334,7440532.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,12726336326.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.02,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,9821176922.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.04,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,11310074348.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.06,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,12296661229.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.07,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,12840054595.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.09,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,9909019674.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.1,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,21.972883224487305,31.78528213500977,97.08308410644533,2.9169161319732666,0.5257457494735718,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,12.52056884765625,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159315984384.0,1873811456.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,970072128.0,155539885.33333334,7626267.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,9943364568.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.12,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,11893030527.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.13,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,11923118311.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.15,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,11952983487.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.16,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,11981749620.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.17,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.6667886972427368,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,10056635284.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,73.0,3.35074234008789
10.18,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.04567146301269,32.543643951416016,97.21246337890624,2.787538528442383,0.5652199387550354,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6425812244415283,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,159297683456.0,1873133440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,950180928.0,155539885.33333334,7436082.5,2210809365.3333335,0.067912220954895,102.0,2.0,6313.0,1.0,21.75054168701172,2864.0,10082299732.0,1920.0,4.0,76.0,77.0,73.0,71.0,72.0,75.0,90.0,545.0,2.0,31.22645914554596,0.7342010140419006,2736.0,1.0,3.35074234008789
