scan_id,room_label,location,noise_type,device_id,TotalUsedMem_d6_minus_d5_mean,TotalUsedMem_q2_std,TotalUsedMem_q3_std,TotalUsedMem_d6_min,TotalUsedMem_roll10_mean_std,TotalUsedMem_resid_std,TotalUsedMem_decile_mean_range,GpuUtil_q2_mean,TotalUsedMem_iqr,TotalUsedMem_range,TotalUsedMem_d8_minus_d7_mean,GpuUtil_d0_min,TotalUsedMem_half1_std,TotalUsedMem_d8_min,GpuUtil_p10,GpuUtil_d8_mean,TotalUsedMem_d7_min,GpuUtil_d2_min,TotalUsedMem_d7_std
conference__4211__noise2__scan01,conference,4211,2,2bfe9f80377e670fec89a36997162020,99114.44444444776,97252.92039527764,112765.31227831192,144871804,159648.24583566625,181695.699042984,465943.222222209,0.3286782608695651,338837.5,775016,137852.66666665673,0.3263,181488.3971483155,145084928,0.3273,0.3324,144977908,0.3287,71399.24617940762
conference__4218__noise0__scan00,conference,4218,0,2bfe9f80377e670fec89a36997162020,145640.1111111045,107250.47218739722,353466.41759709734,145607668,286568.59677892,245796.16204061385,941921.077777803,0.335108695652174,465792.0,1168416,-252562.6666666865,0.342,274314.6878598778,145129572,0.3337,0.3406333333333333,145763972,0.3409,34730.07038345166
conference__4218__noise0__scan01,conference,4218,0,2bfe9f80377e670fec89a36997162020,122022.77777776122,155132.4493214511,304673.2140054812,145644868,336200.93957098835,215232.2425265385,1096732.1444444358,0.3394391304347827,519728.5,1322943,-219741.8888888955,0.3399,240593.67966562204,145327771,0.3375,0.3462666666666666,145962452,0.3388,33833.126840457255
conference__4218__noise1__scan00,conference,4218,1,2bfe9f80377e670fec89a36997162020,125486.11111110447,107122.67779746292,301322.7548442632,146604470,277982.37431404484,244274.3510798824,975497.7666666508,0.360891304347826,457206.0,1175292,-497272.66666665673,0.3498,259918.56706935092,146145120,0.3522,0.3645777777777777,146773692,0.3543,34020.4773106499
conference__4218__noise1__scan01,conference,4218,1,2bfe9f80377e670fec89a36997162020,169273.55555558205,125392.5349844332,327477.850808457,146557796,294168.5076317316,242786.22359740615,986648.822222203,0.3614217391304347,455792.0,1237300,-329923.66666665673,0.3565,263983.1919973994,146094946,0.3565,0.3633,146720616,0.3549,34503.64285365879
conference__4218__noise2__scan00,conference,4218,2,2bfe9f80377e670fec89a36997162020,152802.1111111045,109134.40826542392,305742.3854999912,146268288,280235.6778614643,233946.30205589128,952651.6666666568,0.3150391304347825,436162.5,1300483,-498232.7777777612,0.3134,255630.67706816585,145843296,0.2979,0.3213555555555555,146434928,0.306,84091.41908661074
conference__4218__noise2__scan01,conference,4218,2,2bfe9f80377e670fec89a36997162020,124954.55555555224,121570.51903801988,295059.9336828077,146301486,284748.2735760506,231373.49341850917,981920.3333333136,0.3050590909090909,461277.5,1186874,-409903.5555555522,0.3352,247002.94595592716,145891912,0.30272,0.3009111111111112,146484888,0.31,48383.90248475542
conference__4307__noise0__scan00,conference,4307,0,2bfe9f80377e670fec89a36997162020,150972.44444444776,106296.92113326756,252479.29749914783,145347260,273307.1228297198,238043.9436578087,793080.0,0.2498695652173913,449784.0,1013223,130600.88888886572,0.2495,214779.07165394715,145623276,0.2479,0.2482,145479404,0.2486,40671.71815620503
conference__4307__noise0__scan01,conference,4307,0,2bfe9f80377e670fec89a36997162020,150425.77777776122,106805.2891761098,88755.35017342349,145688552,272963.38261509914,223847.6767679489,901091.6666666568,0.2926347826086957,471583.0,1022418,132306.44444444776,0.2923,194435.82656494173,145963158,0.2924,0.2926333333333333,145831734,0.2927,39624.56236000875
conference__4307__noise1__scan00,conference,4307,1,2bfe9f80377e670fec89a36997162020,151189.8888888955,105432.3362074406,159743.64103139425,145900032,278070.6122219308,234755.12288388447,846860.1111111045,0.3040130434782608,472193.0,1109509,137290.77777776122,0.2988,206336.0555162905,146174040,0.2989,0.3058,146027120,0.3038,42192.56332695094
conference__4307__noise1__scan01,conference,4307,1,2bfe9f80377e670fec89a36997162020,147003.33333334327,104227.55711265172,90823.47503280816,146088836,273442.235486154,232382.65073536697,928541.7777777612,0.2988304347826088,488749.0,1035198,142120.55555555224,0.2984,197700.75074219532,146363924,0.2965,0.3000333333333333,146224740,0.2974,41749.94488471264
conference__4307__noise2__scan00,conference,4307,2,2bfe9f80377e670fec89a36997162020,147032.8888888657,120953.06937798078,91641.61153790598,146101784,279359.149572959,229120.94340347944,920843.555555582,0.3150304347826087,514949.0,1065440,118388.22222220898,0.3021,197324.26825227507,146369992,0.3105,0.3165111111111111,146235968,0.3186,66748.48663194035
conference__4307__noise2__scan01,conference,4307,2,2bfe9f80377e670fec89a36997162020,152268.22222220898,108605.55518695588,166507.06878810588,145824312,281981.5977925247,233314.46012124413,860708.222222209,0.3153173913043479,473034.0,1121349,132901.33333334327,0.3185,209623.5592932563,146096824,0.3034,0.3221666666666666,145963798,0.3045,40226.35692069456
hallway__Floor4HallwayInFrontOf4214__noise0__scan00,hallway,Floor4HallwayInFrontOf4214,0,2bfe9f80377e670fec89a36997162020,-585960.1111111045,274548.1023288529,74321.04604411128,143892628,171636.11754461197,192677.4302765582,658500.4444444478,0.2574608695652173,276976.0,818528,77103.77777779102,0.257,204150.975609714,144060996,0.2573,0.2613666666666666,143978980,0.2576,50567.54208866483
hallway__Floor4HallwayInFrontOf4214__noise0__scan01,hallway,Floor4HallwayInFrontOf4214,0,2bfe9f80377e670fec89a36997162020,99354.66666665672,91813.2924866757,87325.04034547503,144589028,149854.69490309397,174466.17921767908,477872.8888888955,0.2591695652173914,296240.0,638912,98446.33333334328,0.2585,162899.2307169067,144811156,0.2585,0.2593333333333333,144704452,0.2581,51502.68986958321
hallway__Floor4HallwayInFrontOf4214__noise1__scan00,hallway,Floor4HallwayInFrontOf4214,1,2bfe9f80377e670fec89a36997162020,-537638.4444444478,254571.5049270968,92149.18076567542,144904552,166814.1148807488,182121.0696371636,647305.6666666567,0.2735478260869564,279661.0,810662,105906.66666665672,0.2696,193076.01974736387,145081540,0.2705,0.2776444444444444,144981546,0.2705,24971.07821183796
